ECG_Max,ECG_SD,ECG_Mean,ECG_Q1,ECG_Q2,ECG_Q3,ECG_AVHR,ECG_IBI,ECG_RMSSD,ECG_pNN20,ECG_pNN50,EDA_SC,EDA_SCL,EDA_SCR,EDA_Max,EDA_SD,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_std,time_skew,time_kurtosis,delta_amp,theta_amp,alpha_amp,beta_amp,delta_psd,theta_psd,alpha_psd,beta_psd,trust level
0.858655037,0.161892565,0.000297138,-0.087222173,0.010498466,0.091006922,173.4641198,345.8928571,96.8819442,0.888888889,0.777777778,5.460707703,5.474586487,0.019164925,5.588989258,0.065791839,5.460707703,5.407180786,5.474586487,5.498638153,46470.34486,46754.61625,46285.46288,93.57989438,0.341233205,3.277524619,27.38071804,8.2442608,2.985887518,3.552873284,230.8436971,18.78790683,1.845631006,0.761796609,1
0.858655037,0.160743466,0.008049556,-0.073767785,0.019096696,0.09566542,174.8743719,343.1034483,89.96030871,0.928571429,0.714285714,5.435800591,5.457229614,0.017691269,5.551986694,0.066722225,5.435800591,5.377349854,5.457229614,5.482635498,46465.35927,46760.63,46290.92125,95.37036279,0.512721459,3.468522609,27.4684171,8.079690033,3.041967614,3.465884505,230.5709497,18.02037855,1.906874402,0.726660138,1
0.858655037,0.164136676,0.002082349,-0.082958996,0.01357568,0.091882917,174.0031072,344.8214286,94.75113602,0.925925926,0.703703704,5.415120544,5.424919128,0.02450264,5.524902344,0.065302274,5.415120544,5.349407196,5.424919128,5.476989746,46460.81092,46767.19938,46293.677,92.28161797,0.709243625,3.911412958,27.6472286,8.251638923,3.192905713,3.54604962,233.4934025,18.81243289,2.120515927,0.757304783,1
0.858655037,0.16181797,0.003951215,-0.080065966,0.014078816,0.093100326,173.0175077,346.7857143,91.8382233,0.925925926,0.703703704,5.404655418,5.405044556,0.02602562,5.524902344,0.059355668,5.404655418,5.349407196,5.405044556,5.470600128,46457.85829,46778.42288,46297.6365,85.16834411,0.921478773,5.145915619,19.28973914,7.439775533,3.089043667,3.404601359,112.2603085,15.18207378,1.985539604,0.695323206,1
0.858655037,0.162167215,-0.000286262,-0.083938314,0.00902949,0.088253152,175.0911933,342.6785714,88.92360433,0.851851852,0.62962963,5.39866024,5.405044556,0.020030441,5.524902344,0.054243525,5.39866024,5.349407196,5.405044556,5.439910889,46455.32159,46643.20388,46297.6365,70.71959447,0.094684637,2.532631906,16.48399027,5.673822757,2.781721677,3.33926238,82.03098191,8.624318382,1.610395358,0.666456549,1
0.858655037,0.160825936,0.002459929,-0.08311398,0.013701464,0.091882917,175.4569191,341.9642857,88.7151079,0.851851852,0.592592593,5.389826126,5.392303467,0.018510666,5.481872559,0.047229918,5.389826126,5.349407196,5.392303467,5.42427063,46468.35147,46642.12375,46335.98962,68.42875466,0.19483416,2.172284031,16.96352227,5.817885482,2.816474163,3.273997993,87.2313498,9.173498572,1.647208552,0.641267046,1
0.858655037,0.163291391,0.00255309,-0.080122119,0.01213815,0.091179875,175.7322176,341.4285714,88.10767823,0.814814815,0.555555556,5.377788849,5.380020142,0.016248894,5.45791626,0.039892854,5.377788849,5.340385437,5.380020142,5.41261673,46481.6574,46663.57888,46350.239,70.87890443,0.16080349,2.192000034,16.41266756,5.440413454,2.726698942,3.400976481,81.52855789,7.96839414,1.551012382,0.697789196,1
0.858655037,0.163229074,0.005003051,-0.080207473,0.01383174,0.094665887,174.4548287,343.9285714,80.34647195,0.740740741,0.481481481,5.365699234,5.365829468,0.016465797,5.430984497,0.037483357,5.365699234,5.325927734,5.365829468,5.400390625,46495.69397,46676.07975,46350.93438,73.28359449,0.055339956,2.265228373,17.51520366,6.187003134,2.903394981,3.572521973,94.11172001,10.3314523,1.764603866,0.775884785,1
0.858655037,0.166283031,0.00953064,-0.074520242,0.016882001,0.099324385,177.9141104,337.2413793,65.41078985,0.678571429,0.357142857,5.353927727,5.349273682,0.019786758,5.430984497,0.040526085,5.353927727,5.321960449,5.349273682,5.387039185,46492.15717,46676.07975,46166.68488,94.91307356,-1.041894774,5.118991857,17.77176343,6.442841072,2.964085783,3.645078877,97.74636741,11.23053732,1.838318329,0.803905238,1
0.783795627,0.165073894,0.003650304,-0.084091052,0.01424503,0.098122699,176.0242792,340.862069,60.73214023,0.678571429,0.357142857,5.344676666,5.333709717,0.024011078,5.430984497,0.044549213,5.344676666,5.316066742,5.333709717,5.383071899,46464.8955,46678.78775,46060.42538,137.8360539,-1.132042598,4.05314167,18.0969142,6.075159103,2.754794558,3.675607317,103.459863,9.898679407,1.583978803,0.816680752,1
0.783795627,0.161105084,0.003092888,-0.082267185,0.012663747,0.091721195,176.6497462,339.6551724,70.50835817,0.678571429,0.464285714,5.33806179,5.323867798,0.026707115,5.430984497,0.04795699,5.33806179,5.29083252,5.323867798,5.383071899,46442.50808,46651.58537,46064.74013,152.1915276,-0.841903847,2.916578693,23.0367212,6.169985725,2.760718936,3.65954224,188.9212211,10.08712788,1.603701992,0.812158189,1
0.783795627,0.161171079,-0.001034267,-0.086970605,0.006733933,0.088102661,178.0962129,336.8965517,69.02380542,0.642857143,0.428571429,5.330979271,5.322265625,0.027427635,5.430984497,0.054777714,5.330979271,5.286388397,5.322265625,5.383071899,46428.49937,46653.80513,46074.92238,158.4900023,-0.649290561,2.545699951,22.65907991,6.252125237,2.686151432,3.638007277,184.684411,10.27969559,1.514700867,0.804009237,1
0.783795627,0.159078931,0.003919998,-0.078967603,0.012663747,0.090541971,176.2917933,340.3448276,65.73757351,0.642857143,0.464285714,5.31976532,5.304527283,0.035275536,5.430984497,0.06509925,5.31976532,5.279769897,5.304527283,5.383071899,46407.01855,46653.80513,46081.06912,166.6152519,-0.406940377,2.119509748,23.90995863,6.875095587,2.875611901,3.641823472,202.4927225,12.58578991,1.739949967,0.813547214,1
0.783795627,0.161400971,0.002781977,-0.084715479,0.013009653,0.09211427,177.4023231,338.2142857,67.86424357,0.703703704,0.518518519,5.298188629,5.288085938,0.033328171,5.430984497,0.071666062,5.298188629,5.251293182,5.288085938,5.348758698,46384.61588,46654.17438,46086.77675,166.2190859,-0.138705384,2.108136714,25.44934614,7.189530772,2.971616769,3.675733947,237.2687027,13.89250896,1.905369932,0.832457917,1
0.783795627,0.16021461,0.004239166,-0.082024601,0.013944047,0.093217125,176.5601218,339.8275862,71.01936356,0.75,0.535714286,5.270897446,5.282669067,0.022605095,5.410614014,0.071961249,5.270897446,5.214576721,5.282669067,5.31955719,46363.90622,46658.9595,46091.42238,160.695219,0.223397111,2.418365173,26.77273464,7.360135955,3.191806041,3.770067731,255.2962214,14.52120851,2.247663276,0.872713236,1
0.783795627,0.160835709,0.002363372,-0.088396905,0.011428369,0.095434067,177.9141104,337.2413793,72.58000512,0.785714286,0.607142857,5.24335247,5.268325806,0.018536758,5.369186401,0.07353702,5.24335247,5.178203583,5.268325806,5.29083252,46342.63729,46658.9595,46092.46425,150.8452497,0.542951292,2.836175731,25.98244372,7.133777115,3.093361583,3.660826517,242.6213052,13.61247897,2.102239524,0.816970714,1
0.783795627,0.161346078,0.003144086,-0.083682254,0.013993463,0.09626514,176.5601218,339.8275862,75.00595214,0.821428571,0.678571429,5.215947495,5.230293274,0.027538795,5.335388184,0.079381101,5.215947495,5.147705078,5.230293274,5.28635025,46312.30122,46658.9595,46070.76313,134.2265655,0.715692788,3.564150366,25.60432845,7.005865984,3.127728412,3.631169209,236.6187106,13.0886159,2.129120313,0.804624856,1
0.71084993,0.161205639,0.004511587,-0.079989597,0.01654508,0.097305103,176.9352291,339.1071429,78.80472819,0.888888889,0.777777778,5.188592072,5.197296143,0.033579788,5.305175781,0.08603724,5.188592072,5.118217468,5.197296143,5.279769897,46259.74838,46600.6155,45914.16313,121.8469794,-0.126713346,4.220753077,24.85335945,7.049347817,3.180410381,3.6981676,225.9562291,13.20171319,2.19657408,0.836650179,1
0.71084993,0.158017878,0.001170159,-0.086986328,0.013607126,0.093495647,175.4569191,341.9642857,77.74602526,0.851851852,0.740740741,5.162297974,5.163497925,0.039341278,5.294952393,0.090829321,5.162297974,5.077590942,5.163497925,5.251255035,46211.59391,46441.70525,45855.14488,145.7657345,-0.621284005,3.431447755,22.22193051,7.28267218,3.380500474,3.865145558,158.4862776,14.07767396,2.481369993,0.913114169,1
