ECG_Max,ECG_SD,alpha_psd,ECG_Mean,ECG_Q1,delta_amp,ECG_Q2,ECG_Q3,beta_amp,ECG_AVHR,ECG_IBI,theta_psd,ECG_RMSSD,time_std,theta_amp,ECG_pNN20,ECG_pNN50,beta_psd,EDA_SC,EDA_SCL,alpha_amp,EDA_SCR,EDA_Max,EDA_SD,delta_psd,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_skew,time_kurtosis,trust level
0.858655037,0.160825936,1.647208552,0.002459929,-0.08311398,16.96352227,0.013701464,0.091882917,3.273997993,175.4569191,341.9642857,9.173498572,88.7151079,68.42875466,5.817885482,0.851851852,0.592592593,0.641267046,5.389826126,5.392303467,2.816474163,0.018510666,5.481872559,0.047229918,87.2313498,5.389826126,5.349407196,5.392303467,5.42427063,46468.35147,46642.12375,46335.98962,0.19483416,2.172284031,1
0.858655037,0.163291391,1.551012382,0.00255309,-0.080122119,16.41266756,0.01213815,0.091179875,3.400976481,175.7322176,341.4285714,7.96839414,88.10767823,70.87890443,5.440413454,0.814814815,0.555555556,0.697789196,5.377788849,5.380020142,2.726698942,0.016248894,5.45791626,0.039892854,81.52855789,5.377788849,5.340385437,5.380020142,5.41261673,46481.6574,46663.57888,46350.239,0.16080349,2.192000034,1
0.858655037,0.163229074,1.764603866,0.005003051,-0.080207473,17.51520366,0.01383174,0.094665887,3.572521973,174.4548287,343.9285714,10.3314523,80.34647195,73.28359449,6.187003134,0.740740741,0.481481481,0.775884785,5.365699234,5.365829468,2.903394981,0.016465797,5.430984497,0.037483357,94.11172001,5.365699234,5.325927734,5.365829468,5.400390625,46495.69397,46676.07975,46350.93438,0.055339956,2.265228373,1
0.858655037,0.166283031,1.838318329,0.00953064,-0.074520242,17.77176343,0.016882001,0.099324385,3.645078877,177.9141104,337.2413793,11.23053732,65.41078985,94.91307356,6.442841072,0.678571429,0.357142857,0.803905238,5.353927727,5.349273682,2.964085783,0.019786758,5.430984497,0.040526085,97.74636741,5.353927727,5.321960449,5.349273682,5.387039185,46492.15717,46676.07975,46166.68488,-1.041894774,5.118991857,1
0.783795627,0.165073894,1.583978803,0.003650304,-0.084091052,18.0969142,0.01424503,0.098122699,3.675607317,176.0242792,340.862069,9.898679407,60.73214023,137.8360539,6.075159103,0.678571429,0.357142857,0.816680752,5.344676666,5.333709717,2.754794558,0.024011078,5.430984497,0.044549213,103.459863,5.344676666,5.316066742,5.333709717,5.383071899,46464.8955,46678.78775,46060.42538,-1.132042598,4.05314167,1
0.783795627,0.161105084,1.603701992,0.003092888,-0.082267185,23.0367212,0.012663747,0.091721195,3.65954224,176.6497462,339.6551724,10.08712788,70.50835817,152.1915276,6.169985725,0.678571429,0.464285714,0.812158189,5.33806179,5.323867798,2.760718936,0.026707115,5.430984497,0.04795699,188.9212211,5.33806179,5.29083252,5.323867798,5.383071899,46442.50808,46651.58537,46064.74013,-0.841903847,2.916578693,1
0.783795627,0.161171079,1.514700867,-0.001034267,-0.086970605,22.65907991,0.006733933,0.088102661,3.638007277,178.0962129,336.8965517,10.27969559,69.02380542,158.4900023,6.252125237,0.642857143,0.428571429,0.804009237,5.330979271,5.322265625,2.686151432,0.027427635,5.430984497,0.054777714,184.684411,5.330979271,5.286388397,5.322265625,5.383071899,46428.49937,46653.80513,46074.92238,-0.649290561,2.545699951,1
0.783795627,0.159078931,1.739949967,0.003919998,-0.078967603,23.90995863,0.012663747,0.090541971,3.641823472,176.2917933,340.3448276,12.58578991,65.73757351,166.6152519,6.875095587,0.642857143,0.464285714,0.813547214,5.31976532,5.304527283,2.875611901,0.035275536,5.430984497,0.06509925,202.4927225,5.31976532,5.279769897,5.304527283,5.383071899,46407.01855,46653.80513,46081.06912,-0.406940377,2.119509748,1
0.783795627,0.161400971,1.905369932,0.002781977,-0.084715479,25.44934614,0.013009653,0.09211427,3.675733947,177.4023231,338.2142857,13.89250896,67.86424357,166.2190859,7.189530772,0.703703704,0.518518519,0.832457917,5.298188629,5.288085938,2.971616769,0.033328171,5.430984497,0.071666062,237.2687027,5.298188629,5.251293182,5.288085938,5.348758698,46384.61588,46654.17438,46086.77675,-0.138705384,2.108136714,1
0.783795627,0.16021461,2.247663276,0.004239166,-0.082024601,26.77273464,0.013944047,0.093217125,3.770067731,176.5601218,339.8275862,14.52120851,71.01936356,160.695219,7.360135955,0.75,0.535714286,0.872713236,5.270897446,5.282669067,3.191806041,0.022605095,5.410614014,0.071961249,255.2962214,5.270897446,5.214576721,5.282669067,5.31955719,46363.90622,46658.9595,46091.42238,0.223397111,2.418365173,1
0.783795627,0.160835709,2.102239524,0.002363372,-0.088396905,25.98244372,0.011428369,0.095434067,3.660826517,177.9141104,337.2413793,13.61247897,72.58000512,150.8452497,7.133777115,0.785714286,0.607142857,0.816970714,5.24335247,5.268325806,3.093361583,0.018536758,5.369186401,0.07353702,242.6213052,5.24335247,5.178203583,5.268325806,5.29083252,46342.63729,46658.9595,46092.46425,0.542951292,2.836175731,1
0.783795627,0.161346078,2.129120313,0.003144086,-0.083682254,25.60432845,0.013993463,0.09626514,3.631169209,176.5601218,339.8275862,13.0886159,75.00595214,134.2265655,7.005865984,0.821428571,0.678571429,0.804624856,5.215947495,5.230293274,3.127728412,0.027538795,5.335388184,0.079381101,236.6187106,5.215947495,5.147705078,5.230293274,5.28635025,46312.30122,46658.9595,46070.76313,0.715692788,3.564150366,1
